X [mm], Y [mm], Z [mm], Heading [degrees], Filename, Grid X, Grid Y, Grid Z
-1000, -2000, 1500, 0, image_-001000_-002000_+001500.png, 15, 5, 0
-900, -2000, 1500, 0, image_-000900_-002000_+001500.png, 16, 5, 0
-800, -2000, 1500, 0, image_-000800_-002000_+001500.png, 17, 5, 0
-700, -2000, 1500, 0, image_-000700_-002000_+001500.png, 18, 5, 0
-600, -2000, 1500, 0, image_-000600_-002000_+001500.png, 19, 5, 0
-500, -2000, 1500, 0, image_-000500_-002000_+001500.png, 20, 5, 0
-400, -2000, 1500, 0, image_-000400_-002000_+001500.png, 21, 5, 0
-300, -2000, 1500, 0, image_-000300_-002000_+001500.png, 22, 5, 0
-200, -2000, 1500, 0, image_-000200_-002000_+001500.png, 23, 5, 0
-100, -2000, 1500, 0, image_-000100_-002000_+001500.png, 24, 5, 0
0, -2000, 1500, 0, image_+000000_-002000_+001500.png, 25, 5, 0
100, -2000, 1500, 0, image_+000100_-002000_+001500.png, 26, 5, 0
200, -2000, 1500, 0, image_+000200_-002000_+001500.png, 27, 5, 0
300, -2000, 1500, 0, image_+000300_-002000_+001500.png, 28, 5, 0
400, -2000, 1500, 0, image_+000400_-002000_+001500.png, 29, 5, 0
500, -2000, 1500, 0, image_+000500_-002000_+001500.png, 30, 5, 0
600, -2000, 1500, 0, image_+000600_-002000_+001500.png, 31, 5, 0
700, -2000, 1500, 0, image_+000700_-002000_+001500.png, 32, 5, 0
800, -2000, 1500, 0, image_+000800_-002000_+001500.png, 33, 5, 0
900, -2000, 1500, 0, image_+000900_-002000_+001500.png, 34, 5, 0
1000, -2000, 1500, 0, image_+001000_-002000_+001500.png, 35, 5, 0
1100, -2000, 1500, 0, image_+001100_-002000_+001500.png, 36, 5, 0
1200, -2000, 1500, 0, image_+001200_-002000_+001500.png, 37, 5, 0
1300, -2000, 1500, 0, image_+001300_-002000_+001500.png, 38, 5, 0
1400, -2000, 1500, 0, image_+001400_-002000_+001500.png, 39, 5, 0
1500, -2000, 1500, 0, image_+001500_-002000_+001500.png, 40, 5, 0
1600, -2000, 1500, 0, image_+001600_-002000_+001500.png, 41, 5, 0
1700, -2000, 1500, 0, image_+001700_-002000_+001500.png, 42, 5, 0
1800, -2000, 1500, 0, image_+001800_-002000_+001500.png, 43, 5, 0
1900, -2000, 1500, 0, image_+001900_-002000_+001500.png, 44, 5, 0
2000, -2000, 1500, 0, image_+002000_-002000_+001500.png, 45, 5, 0
2100, -2000, 1500, 0, image_+002100_-002000_+001500.png, 46, 5, 0
2200, -2000, 1500, 0, image_+002200_-002000_+001500.png, 47, 5, 0
2300, -2000, 1500, 0, image_+002300_-002000_+001500.png, 48, 5, 0
2400, -2000, 1500, 0, image_+002400_-002000_+001500.png, 49, 5, 0
2500, -2000, 1500, 0, image_+002500_-002000_+001500.png, 50, 5, 0
-2500, -1900, 1500, 0, image_-002500_-001900_+001500.png, 0, 6, 0
-2400, -1900, 1500, 0, image_-002400_-001900_+001500.png, 1, 6, 0
-2300, -1900, 1500, 0, image_-002300_-001900_+001500.png, 2, 6, 0
-2200, -1900, 1500, 0, image_-002200_-001900_+001500.png, 3, 6, 0
-2100, -1900, 1500, 0, image_-002100_-001900_+001500.png, 4, 6, 0
-2000, -1900, 1500, 0, image_-002000_-001900_+001500.png, 5, 6, 0
-1900, -1900, 1500, 0, image_-001900_-001900_+001500.png, 6, 6, 0
-1800, -1900, 1500, 0, image_-001800_-001900_+001500.png, 7, 6, 0
-1700, -1900, 1500, 0, image_-001700_-001900_+001500.png, 8, 6, 0
-1600, -1900, 1500, 0, image_-001600_-001900_+001500.png, 9, 6, 0
-1500, -1900, 1500, 0, image_-001500_-001900_+001500.png, 10, 6, 0
-1400, -1900, 1500, 0, image_-001400_-001900_+001500.png, 11, 6, 0
-1300, -1900, 1500, 0, image_-001300_-001900_+001500.png, 12, 6, 0
-1200, -1900, 1500, 0, image_-001200_-001900_+001500.png, 13, 6, 0
-1100, -1900, 1500, 0, image_-001100_-001900_+001500.png, 14, 6, 0
-1000, -1900, 1500, 0, image_-001000_-001900_+001500.png, 15, 6, 0
-900, -1900, 1500, 0, image_-000900_-001900_+001500.png, 16, 6, 0
-800, -1900, 1500, 0, image_-000800_-001900_+001500.png, 17, 6, 0
-700, -1900, 1500, 0, image_-000700_-001900_+001500.png, 18, 6, 0
-600, -1900, 1500, 0, image_-000600_-001900_+001500.png, 19, 6, 0
-500, -1900, 1500, 0, image_-000500_-001900_+001500.png, 20, 6, 0
-400, -1900, 1500, 0, image_-000400_-001900_+001500.png, 21, 6, 0
